"","TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"622","Maaseik","72021","Gemeenteweg",0,0,1,0,2,0,3
"623","Maaseik","72021","Gewestweg",2,0,4,0,1,1,7
"624","Maasmechelen","73107","Autosnelweg",0,1,1,0,0,0,2
"625","Maasmechelen","73107","Gemeenteweg",1,2,1,0,1,1,5
"626","Machelen (Halle-Vilvoorde)","23047","Autosnelweg",0,0,0,1,0,0,1
"627","Machelen (Halle-Vilvoorde)","23047","Gewestweg",1,1,0,0,0,0,2
"628","Maldegem","43010","Autosnelweg",0,0,0,0,1,1,1
"629","Maldegem","43010","Gemeenteweg",1,2,1,1,1,0,6
"630","Maldegem","43010","Gewestweg",1,2,2,1,1,0,7
"631","Malle","11057","Gewestweg",2,0,1,0,0,1,3
"632","Malmedy","63049","Gemeenteweg",0,0,1,1,1,0,3
"633","Malmedy","63049","Gewestweg",1,0,2,0,3,0,6
"634","Manage","55086","Autosnelweg",0,1,0,0,1,0,2
"635","Manage","55086","Gemeenteweg",0,0,1,0,0,1,1
"636","Manage","55086","Gewestweg",0,0,0,2,0,0,2
"637","Manhay","83055","Autosnelweg",0,0,1,1,0,1,2
"638","Manhay","83055","Gewestweg",1,0,1,0,0,0,2
"639","Marche-en-Famenne","83034","Gewestweg",2,1,2,2,0,1,7
"640","Marchin","61039","Gemeenteweg",0,0,1,0,0,0,1
"641","Martelange","81013","Gemeenteweg",0,0,0,0,1,0,1
"642","Martelange","81013","Gewestweg",0,0,2,0,0,0,2
"643","Mechelen","12025","Autosnelweg",0,1,1,0,0,0,2
"644","Mechelen","12025","Gemeenteweg",0,0,1,0,1,0,2
"645","Mechelen","12025","Gewestweg",2,0,1,0,0,3,3
"646","Meerhout","13021","Gemeenteweg",2,1,0,0,0,1,3
"647","Meerhout","13021","Gewestweg",0,0,0,0,1,0,1
"648","Meise","23050","Autosnelweg",1,1,1,0,0,0,3
"649","Meise","23050","Gemeenteweg",0,2,0,0,0,0,2
"650","Meise","23050","Gewestweg",0,0,1,0,1,0,2
"651","Meix-devant-Virton","85024","Gemeenteweg",0,0,0,0,1,0,1
"652","Meix-devant-Virton","85024","Gewestweg",1,0,0,0,0,0,1
"653","Melle","44040","Autosnelweg",0,0,1,0,0,1,1
"654","Menen","34027","Autosnelweg",0,1,1,0,0,0,2
"655","Menen","34027","Gemeenteweg",0,0,1,0,0,1,1
"656","Menen","34027","Gewestweg",2,1,0,1,1,0,5
"657","Merbes-le-Château","56049","Gemeenteweg",0,0,1,0,0,0,1
"658","Merbes-le-Château","56049","Gewestweg",0,0,1,0,0,0,1
"659","Merchtem","23052","Gemeenteweg",0,0,0,1,0,1,1
"660","Merchtem","23052","Gewestweg",0,0,0,0,1,0,1
"661","Merelbeke","44043","Gewestweg",1,0,0,0,0,0,1
"662","Merksplas","13023","Gemeenteweg",0,0,1,0,0,0,1
"663","Messancy","81015","Autosnelweg",0,0,0,1,0,0,1
"664","Messancy","81015","Gemeenteweg",1,0,0,0,0,1,1
"665","Messancy","81015","Gewestweg",0,1,1,0,0,0,2
"666","Mettet","92087","Gemeenteweg",1,0,0,0,0,0,1
"667","Mettet","92087","Gewestweg",2,1,1,2,1,2,7
"668","Meulebeke","37007","Gemeenteweg",0,1,0,0,1,0,2
"669","Meulebeke","37007","Gewestweg",1,1,0,0,0,0,2
"670","Middelkerke","35011","Autosnelweg",1,2,1,0,0,0,4
"671","Middelkerke","35011","Gemeenteweg",1,0,0,1,1,2,3
"672","Middelkerke","35011","Gewestweg",0,1,3,0,3,2,7
"673","Modave","61041","Gemeenteweg",0,1,0,0,0,0,1
"674","Modave","61041","Gewestweg",0,0,0,1,1,1,2
"675","Moerbeke (Gent)","44045","Autosnelweg",0,0,0,0,0,1,0
"676","Moeskroen","57096","Autosnelweg",0,1,1,0,0,0,2
"677","Moeskroen","57096","Gemeenteweg",2,1,2,0,1,2,6
"678","Moeskroen","57096","Gewestweg",0,0,3,0,0,1,3
"679","Mol","13025","Autosnelweg",0,0,0,1,0,0,1
"680","Mol","13025","Gemeenteweg",1,1,0,1,1,0,4
"681","Mol","13025","Gewestweg",2,2,2,3,1,1,10
"682","Momignies","56051","Gewestweg",0,0,0,2,1,0,3
"683","Mont-Saint-Guibert","25068","Gewestweg",1,0,0,1,0,0,2
"684","Mont-de-l’Enclus","57095","Gewestweg",0,2,1,0,0,1,3
"685","Montigny-le-Tilleul","52048","Gewestweg",0,1,0,0,0,0,1
"686","Moorslede","36012","Gemeenteweg",1,1,0,0,0,0,2
"687","Mortsel","11029","Gemeenteweg",0,1,0,0,0,0,1
"688","Mortsel","11029","Gewestweg",1,0,1,0,0,0,2
"689","Musson","85026","Gewestweg",0,0,1,0,0,1,1
"690","Namen","92094","Autosnelweg",1,1,1,2,2,0,7
"691","Namen","92094","Gemeenteweg",0,3,3,0,3,0,9
"692","Namen","92094","Gewestweg",7,5,2,4,1,4,19
"693","Nassogne","83040","Gemeenteweg",0,1,0,0,0,0,1
"694","Nassogne","83040","Gewestweg",0,0,1,1,0,0,2
"695","Nazareth","44048","Autosnelweg",1,1,0,1,0,0,3
"696","Nazareth","44048","Gemeenteweg",0,0,0,0,0,1,0
"697","Nazareth","44048","Gewestweg",1,1,0,1,0,1,3
"698","Neufchâteau (Neufchâteau)","84043","Autosnelweg",0,0,0,0,1,0,1
"699","Neufchâteau (Neufchâteau)","84043","Gemeenteweg",0,1,0,0,1,0,2
"700","Neufchâteau (Neufchâteau)","84043","Gewestweg",1,2,1,1,0,1,5
"701","Neupré","62121","Gewestweg",0,0,0,0,0,1,0
"702","Nieuwpoort","38016","Autosnelweg",1,0,0,0,0,0,1
"703","Nieuwpoort","38016","Gewestweg",0,0,0,0,0,1,0
"704","Nijlen","12026","Gewestweg",0,0,0,0,1,1,1
"705","Nijlen","12026","onbekend",0,0,0,0,0,1,0
"706","Nijvel","25072","Autosnelweg",0,0,1,0,0,1,1
"707","Nijvel","25072","Gewestweg",0,1,1,0,2,0,4
"708","Ninove","41048","Gemeenteweg",4,0,3,2,1,0,10
"709","Ninove","41048","Gewestweg",1,0,0,1,0,0,2
"710","Oerle","64056","Gewestweg",0,1,0,1,0,0,2
"711","Ohey","92097","Gewestweg",0,2,0,1,0,0,3
"712","Olen","13029","Autosnelweg",0,0,0,1,0,0,1
